lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_tariff_code.string,variation_children_code
SHIMMERING COGNAC SUBLIME,4 Level Product Style,SHIMMERING COGNAC SUBLIME,active,Maaji,0,0,,"Entrega
Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p>",SHIMMERING COGNAC SUBLIME,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Mayor cubrimiento<br/>Hecho en Colombia</p>,SHIMMERING COGNAC SUBLIME,"Reversible
Costuras invisibles
Tiro bajo
Mayor cubrimiento
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,SUMMER 2018,COLOMBIA,89% POLIAMIDA 11% ELASTANO,ROJO,SWIMWEAR,SHIMMERING COGNAC SUBLIME,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801523/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_brown_1.jpg,3007SAC14_brown_1,,https://res.cloudinary.com/maaji/image/upload/v1517801541/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_brown_2.jpg,3007SAC14_brown_2,,https://res.cloudinary.com/maaji/image/upload/v1517801636/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_brown_5.jpg,3007SAC14_brown_5,,https://res.cloudinary.com/maaji/image/upload/v1517801568/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_brown.jpg,3007SAC14_brown_6,,,,,,,,61.12.41.00.00,3007SAC14|3007SBC14|3007SCC14|3007SDC14
DAHLIA RENDEZVOUS,4 Level Product Style,DAHLIA RENDEZVOUS,active,Maaji,0,0,,"Entrega
Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p>",DAHLIA RENDEZVOUS,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Ajustable en costados<br/>Poco cubrimiento<br/>Hecho en Colombia</p>,DAHLIA RENDEZVOUS,"Reversible
Costuras invisibles
Tiro bajo
Ajustable en costados
Poco cubrimiento
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,SUMMER 2018,COLOMBIA,93% POLIAMIDA 7% ELASTANO,ROJO,SWIMWEAR,DAHLIA RENDEZVOUS,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801571/Summer2018/3013SBC03_3013SCC03_red_1.jpg,3013SBC03_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801541/Summer2018/3013SBC03_3013SCC03_red_2.jpg,3013SBC03_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801589/Summer2018/3013SBC03_3013SCC03_red_5.jpg,3013SBC03_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801582/Summer2018/3013SBC03_3013SCC03_red_6.jpg,3013SBC03_red_6,,,,,,,,61.12.41.00.00,3013SBC03|3013SCC03
DAHLIA SUBLIME,4 Level Product Style,DAHLIA SUBLIME,active,Maaji,0,0,,"Entrega
Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p>",DAHLIA SUBLIME,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Poco cubrimiento<br/>Hecho en Colombia</p>,DAHLIA SUBLIME,"Reversible
Costuras invisibles
Tiro bajo
Poco cubrimiento
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,SUMMER 2018,COLOMBIA,93% POLIAMIDA 7% ELASTANO,ROJO,SWIMWEAR,DAHLIA SUBLIME,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801483/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_1.jpg,3007SAC15_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801480/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_2.jpg,3007SAC15_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801484/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDc15_red_5.jpg,3007SAC15_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801517/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_6.jpg,3007SAC15_red_6,,,,,,,,61.12.41.00.00,3007SAC15|3007SBC15|3007SCC15|3007SDC15
CAPE LA VELA,4 Level Product Style,CAPE LA VELA,active,Maaji,0,0,,"Entrega
Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p>",CAPE LA VELA,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Entero de escote profundo<br/>Detalle de ojalates y amarre en delantero<br/>Espalda cruzada ajustable<br/>Corte clásico<br/>Hecho en Colombia</p>,CAPE LA VELA,"Reversible
Entero de escote profundo
Detalle de ojalates y amarre en delantero
Espalda cruzada ajustable
Corte clásico
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,SUMMER 2018,COLOMBIA,"85% POLIAMIDA 12% ELASTANO 1% POLIESTER
1% PET 1% ACRILICO",ROJO,SWIMWEAR,CAPE LA VELA,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517877870/Summer2018/2166SOR01_2166SOH01_pink_3.jpg,2166SOR01_pink_3,,https://res.cloudinary.com/maaji/image/upload/v1517877869/Summer2018/2166SOR01_2166SOH01_pink_4.jpg,2166SOH01_pink_4,,,,,,,,,,,,,,61.12.41.00.00,2166SOR01|2166SOH01
GUAJIRA PARK,4 Level Product Style,GUAJIRA PARK,active,Maaji,0,0,,"Entrega
Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p>",GUAJIRA PARK,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,GUAJIRA PARK,"Reversible
Costuras invisibles
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,SUMMER 2018,COLOMBIA,86% POLIAMIDA 14% ELASTANO,ROJO,SWIMWEAR,GUAJIRA PARK,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523566066/Summer2018/2043SBC05_2043SCC05_red_1.jpg,2043SBC05_red_1,,https://res.cloudinary.com/maaji/image/upload/v1523566066/Summer2018/2043SBC05_2043SCC05_red_2.jpg,2043SCC05_red_2,,,,,,,,,,,,,,61.12.41.00.00,2043SBC05|2043SCC05
RED LEAVES,4 Level Product Style,RED LEAVES,active,Maaji,0,0,,"Entrega
Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p>",RED LEAVES,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,RED LEAVES,"Reversible
Costuras invisibles
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,SUMMER 2018,COLOMBIA,83% POLIAMIDA 17% ELASTANO,ROJO,SWIMWEAR,RED LEAVES,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517879500/Summer2018/2168SBC01_2168SCC01_red_1.jpg,2168SBC01_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801276/Summer2018/2168SBC01_2168SCC01_red_2.jpg,2168SBC01_red_2,,,,,,,,,,,,,,61.12.41.00.00,2168SBC01|2168SCC01
CURUBA TROPICA,4 Level Product Style,CURUBA TROPICA,active,Maaji,0,0,,"Entrega
Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p>",CURUBA TROPICA,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Poco cubrimiento<br/>Hecho en Colombia</p>,CURUBA TROPICA,"Reversible
Costuras invisibles
Tiro bajo
Poco cubrimiento
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,SUMMER 2018,COLOMBIA,85% POLIAMIDA 15% ELASTANO,ROJO,SWIMWEAR,CURUBA TROPICA,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801342/Summer2018/2062SBC09_2062SCC09_red_1.jpg,2062SBC09_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801279/Summer2018/2062SBC09_2062SCC09_red_2.jpg,2062SBC09_red_2,,,,,,,,,,,,,,61.12.41.00.00,2062SBC09|2062SCC09
CORAL REEF TOUCAN,4 Level Product Style,CORAL REEF TOUCAN,active,Maaji,0,0,,"Entrega
Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p>",CORAL REEF TOUCAN,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,CORAL REEF TOUCAN,"Reversible
Costuras invisibles
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,SUMMER 2018,COLOMBIA,85% POLIAMIDA 15% ELASTANO,ROJO,SWIMWEAR,CORAL REEF TOUCAN,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801240/Summer2018/2024SAC05_2024SBC05_red_1.jpg,2024SAC05_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801186/Summer2018/2024SAC05_2024SBC05_red_2.jpg,2024SAC05_red_2,,,,,,,,,,,,,,61.12.41.00.00,2024SAC05|2024SBC05
FLOWERY KNOTS,4 Level Product Style,FLOWERY KNOTS,active,Maaji,0,0,,"Entrega
Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p>",FLOWERY KNOTS,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,FLOWERY KNOTS,"Reversible
Costuras invisibles
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,SUMMER 2018,COLOMBIA,85% POLIAMIDA 15% ELASTANO,ROJO,SWIMWEAR,FLOWERY KNOTS,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801259/Summer2018/2061SBC02_2061SCC02_brown_1.jpg,2061SBC02_brown_1,,https://res.cloudinary.com/maaji/image/upload/v1517801279/Summer2018/2061SBC02_2061SCC02_brown_2.jpg,2061SBC02_brown_2,,,,,,,,,,,,,,61.12.41.00.00,2061SBC02|2061SCC02
ANDALUSIA FRILLS,4 Level Product Style,ANDALUSIA FRILLS,active,Maaji,0,0,,"Entrega
Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p>",ANDALUSIA FRILLS,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Detalle de boleros en costados<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,ANDALUSIA FRILLS,"Reversible
Costuras invisibles
Tiro bajo
Detalle de boleros en costados
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,SUMMER 2018,COLOMBIA,87% POLIAMIDA 13% ELASTANO,ROJO,SWIMWEAR,ANDALUSIA FRILLS,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801458/Summer2018/2172SBC01_2172SDC01_red_1.jpg,2172SBC01_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801487/Summer2018/2172SDC01_red_2.jpg,2172SDC01_red_2,,,,,,,,,,,,,,61.12.41.00.00,2172SBC01|2172SDC01
